"SHORT_CODE","START_DATE","EVENT_TYPE","CALL_TYPE","SUBSCRIBER_TYPE","KEYWORD","NB_TAXATION","AMOUNT"
"21685001",06/05/2026,"75","VAS","HYB","_N",46,115
"21685510",06/05/2026,"74","VAS","HYB","_N",42,84
"2168000",06/05/2026,"74","VAS","PREPAID","vib1",4,2
"2168000",06/05/2026,"74","VAS","PREPAID","nj3",7,14
"21685353",07/05/2026,"75","VAS","HYB","_N",424,1272
"2168000",07/05/2026,"74","VAS","PREPAID","ww",13089,65445
"21685085",07/05/2026,"74","VAS","HYB","_N",9,1296
"2168000",07/05/2026,"74","VAS","PREPAID","esp",2352,1176
"2168000",07/05/2026,"74","VAS","HYB","elj1",113,452
"2168000",07/05/2026,"74","VAS","PREPAID","qe4",43,172
"21685515",07/05/2026,"75","VAS","HYB","_N",358,1969
"2168000",07/05/2026,"74","VAS","PREPAID","fig2",1410,7755
"2168000",07/05/2026,"74","VAS","PREPAID","tj",3757,169065
"2168000",07/05/2026,"74","VAS","PREPAID","fig",8186,45023
"2168560601",07/05/2026,"75","VAS","HYB","_N",153,6885
"2168000",07/05/2026,"74","VAS","HYB","cpr",555,1665
"2168000",07/05/2026,"74","VAS","PREPAID","mel1",1966,8847
"21685220",07/05/2026,"75","VAS","HYB","_N",276,1104
"2168000",07/05/2026,"74","VAS","HYB","sw1",148,888
"21685198",07/05/2026,"75","VAS","PREPAID","_N",3425,17125
"21685988",07/05/2026,"74","VAS","PREPAID","_N",441,6615
"216855193",07/05/2026,"75","VAS","PREPAID","_N",3379,47306
"2168000",07/05/2026,"74","VAS","HYB","tts",170,85
"21685198",07/05/2026,"75","VAS","HYB","_N",206,103
"2168000",07/05/2026,"74","VAS","HYB","raf",645,3225
"2168000",07/05/2026,"74","VAS","HYB","esp",153,765
"21685353",07/05/2026,"74","VAS","PREPAID","_N",14,21
"2168000",07/05/2026,"74","VAS","HYB","nj1",71,142
"2168000",07/05/2026,"74","VAS","HYB","kid1",69,3105
"2168000",07/05/2026,"74","VAS","HYB","ajw1",71,426
"21685005",07/05/2026,"74","VAS","HYB","_N",1,95
"2168000",07/05/2026,"74","VAS","PREPAID","taw2",11,385
"2168000",07/05/2026,"74","VAS","PREPAID","dsc",7,175
"2168000",07/05/2026,"74","VAS","HYB","mo2",1,35
"2168000",08/05/2026,"74","VAS","PREPAID","qe1",172,1204
"2168000",08/05/2026,"74","VAS","PREPAID","taw1",5775,3465
"2168000",08/05/2026,"74","VAS","PREPAID","too1",622,311
"2168000",08/05/2026,"74","VAS","PREPAID","raf",13037,65185
"2168000",08/05/2026,"74","VAS","PREPAID","ab1",4534,2267
"2168000",08/05/2026,"74","VAS","HYB","se1",928,6496
"2168000",08/05/2026,"74","VAS","HYB","fig",306,1683
"2168000",08/05/2026,"74","VAS","PREPAID","se1",5425,37975
"2168560602",08/05/2026,"75","VAS","HYB","_N",355,15975
"2168000",08/05/2026,"74","VAS","HYB","kow2",338,2028
"2168000",08/05/2026,"74","VAS","HYB","too1",25,125
"21685856",08/05/2026,"75","VAS","HYB","_N",206,1442
"2168000",08/05/2026,"74","VAS","HYB","ajw1",70,42
"21685988",08/05/2026,"74","VAS","HYB","_N",21,315
"2168000",08/05/2026,"74","VAS","PREPAID","ms",1,45
"2168000",08/05/2026,"74","VAS","PREPAID","mo2",4,14
"2168000",08/05/2026,"74","VAS","HYB","dst",2,5
