"SHORT_CODE","START_DATE","EVENT_TYPE","CALL_TYPE","EVENT_STATUS","SUBSCRIBER_TYPE","KEYWORD","NB_TAXATION"
"2168000",05/05/2026,"74","VAS","Success","HYB","cf",409
"2168000",05/05/2026,"74","VAS","Success","HYB","raf",689
"2168000",05/05/2026,"74","VAS","Success","HYB","tts",188
"2168000",05/05/2026,"74","VAS","Success","HYB","mo1",86
"2168000",05/05/2026,"74","VAS","Success","HYB","exs1",50
"21685230",05/05/2026,"74","VAS","Success","PREPAID","_N",35
"21685990",05/05/2026,"74","VAS","Success","PREPAID","_N",21
"21685285",05/05/2026,"74","VAS","Success","PREPAID","_N",23
"2168000",05/05/2026,"74","VAS","Success","PREPAID","nj2",23
"21685666",05/05/2026,"74","VAS","Success","HYB","_N",29
"2168000",05/05/2026,"74","VAS","Success","POSTPAID","lig1",16
"2168000",05/05/2026,"74","VAS","Success","POSTPAID","cpr",2
"2168000",05/05/2026,"74","VAS","Success","PREPAID","exs2",1
"2168000",05/05/2026,"74","VAS","Success","POSTPAID","esl1",1
"2168000",05/05/2026,"74","VAS","Success","POSTPAID","raf",1
"2168000",05/05/2026,"74","VAS","Success","POSTPAID","qe3",13
"2168000",05/05/2026,"74","VAS","Success","HYB","sh2",7
"21685004",05/05/2026,"74","VAS","Success","HYB","_N",4
"21685005",05/05/2026,"74","VAS","Success","PREPAID","_N",2
"2168000",05/05/2026,"74","VAS","Success","PREPAID","bus2",2
"2168000",05/05/2026,"74","VAS","Success","HYB","vib1",1
"216876",05/05/2026,"74","VAS","Success","PREPAID","_N",1
"21685580",05/05/2026,"74","VAS","Success","POSTPAID","_N",8
"2168000",05/05/2026,"74","VAS","Success","HYB","dsc",1
"2168000",06/05/2026,"74","VAS","Success","PREPAID","fig",8258
"2168000",06/05/2026,"74","VAS","Success","HYB","es1",440
"216853771",06/05/2026,"75","VAS","Success","PREPAID","_N",2118
"216855201",06/05/2026,"75","VAS","Success","PREPAID","_N",6250
"2168000",06/05/2026,"74","VAS","Success","HYB","nj1",78
"2168000",06/05/2026,"74","VAS","Success","PREPAID","vib1",4
"2168000",06/05/2026,"74","VAS","Success","HYB","smt1",634
"2168000",06/05/2026,"74","VAS","Success","PREPAID","est1",1515
"2168000",06/05/2026,"74","VAS","Success","PREPAID","nj3",7
"21685510",06/05/2026,"74","VAS","Success","HYB","_N",42
"2168560603",06/05/2026,"75","VAS","Success","HYB","_N",213
"21685220",06/05/2026,"75","VAS","Success","HYB","_N",252
"2168000",07/05/2026,"74","VAS","Success","PREPAID","ww",13090
"2168000",07/05/2026,"74","VAS","Success","PREPAID","tj",3759
"2168000",07/05/2026,"74","VAS","Success","PREPAID","fig",8186
"2168000",07/05/2026,"74","VAS","Success","PREPAID","fig2",1410
"2168000",07/05/2026,"74","VAS","Success","HYB","cpr",556
"2168000",07/05/2026,"74","VAS","Success","HYB","ajw1",71
"2168000",07/05/2026,"74","VAS","Success","HYB","sw1",148
"2168000",07/05/2026,"74","VAS","Success","HYB","raf",645
"2168000",07/05/2026,"74","VAS","Success","POSTPAID","plw1",40
"216855193",07/05/2026,"75","VAS","Success","PREPAID","_N",3764
"2168000",07/05/2026,"74","VAS","Success","HYB","tts",170
"2168000",07/05/2026,"74","VAS","Success","HYB","kid1",69
